ID,Authors,Title,Venue,Venue Type,Year,Source (query/snowballing),Origin Paper,Snowballing Direction: (F)oward or (B)ackwards,Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
636,"Di Nucci, Dario; Palomba, Fabio; Prota, Antonio; Panichella, Annibale; Zaidman, Andy; De Lucia, Andrea","Software-based energy profiling of android apps: Simple, efficient and reliable?","Software Analysis, Evolution and Reengineering (SANER), 2017 IEEE 24th International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
637,"Wu, Haowei; Yang, Shengqian; Rountev, Atanas",Static detection of energy defect patterns in Android applications,Proceedings of the 25th International Conference on Compiler Construction,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
638,"Hindle, Abram",Green software engineering: the curse of methodology,"Software Analysis, Evolution, and Reengineering (SANER), 2016 IEEE 23rd International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
639,"Saborido, Rubén; Arnaoudova, Venera Venera; Beltrame, Giovanni; Khomh, Foutse; Antoniol, Giuliano",On the impact of sampling frequency on software energy measurements,,report,2015,S,210,F,o,,,,,,,,,,,,,
640,"Chapman, Carl; Stolee, Kathryn T",Exploring regular expression usage and context in Python,Proceedings of the 25th International Symposium on Software Testing and Analysis,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
641,"Nguyen, Anh Tuan; Nguyen, Hoan Anh; Nguyen, Tien N","A large-scale study on repetitiveness, containment, and composability of routines in open-source projects","Mining Software Repositories (MSR), 2016 IEEE/ACM 13th Working Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
642,"Li, Qiwei; Xu, Chang; Liu, Yepang; Cao, Chun; Ma, Xiaoxing; Lü, Jian",CyanDroid: stable and effective energy inefficiency diagnosis for Android apps,Science China Information Sciences,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
643,"Oliveira, Wellington; Torres, Weslley; Castor, Fernando; Ximenes, Bianca H",Native or web? a preliminary study on the energy consumption of android development models,"Software Analysis, Evolution, and Reengineering (SANER), 2016 IEEE 23rd International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
644,"Bao, Lingfeng; Lo, David; Xia, Xin; Wang, Xinyu; Tian, Cong",How android app developers manage power consumption?: An empirical study by mining power management commits,Proceedings of the 13th International Conference on Mining Software Repositories,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
645,"de F Farias, Mário André; Novais, Renato; Júnior, Methanias Colaço; da Silva Carvalho, Luís Paulo; Mendonça, Manoel; Spínola, Rodrigo Oliveira",A systematic mapping study on mining software repositories,Proceedings of the 31st Annual ACM Symposium on Applied Computing,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
646,"Carette, Antonin; Younes, Mehdi Adel Ait; Hecht, Geoffrey; Moha, Naouel; Rouvoy, Romain",Investigating the energy impact of android smells,"24th International IEEE Conference on Software Analysis, Evolution and Reengineering (SANER)",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
647,"Saied, Mohamed Aymen; Sahraoui, Houari",A cooperative approach for combining client-based and library-based api usage pattern mining,"Program Comprehension (ICPC), 2016 IEEE 24th International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
648,"Cruz, Luis; Abreu, Rui",Performance-based guidelines for energy efficient mobile applications,"Mobile Software Engineering and Systems (MOBILESoft), 2017 IEEE/ACM 4th International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
649,"Linares-Vásquez, Mario; Vendome, Christopher; Tufano, Michele; Poshyvanyk, Denys",How developers micro-optimize android apps,Journal of Systems and Software,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
650,"Nagappan, Meiyappan; Shihab, Emad",Future Trends in Software Engineering Research for Mobile Apps.,FOSE@ SANER,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
651,"Li, Li; Bissyandé, Tegawendé F; Papadakis, Mike; Rasthofer, Siegfried; Bartel, Alexandre; Octeau, Damien; Klein, Jacques; Traon, Le",Static analysis of android apps: A systematic literature review,Information and Software Technology,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
652,"Linares-Vasquez, Mario; Vendome, Christopher; Luo, Qi; Poshyvanyk, Denys",How developers detect and fix performance bottlenecks in android apps,"Software Maintenance and Evolution (ICSME), 2015 IEEE International Conference on",conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
653,"Manotas, Irene; Bird, Christian; Zhang, Rui; Shepherd, David; Jaspan, Ciera; Sadowski, Caitlin; Pollock, Lori; Clause, James",An empirical study of practitioners' perspectives on green software engineering,"Software Engineering (ICSE), 2016 IEEE/ACM 38th International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
654,"Li, Li; Bissyandé, Tegawendé F; Klein, Jacques; Le Traon, Yves",An investigation into the use of common libraries in android apps,"Software Analysis, Evolution, and Reengineering (SANER), 2016 IEEE 23rd International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
655,"Wan, Mian; Jin, Yuchen; Li, Ding; Gui, Jiaping; Mahajan, Sonal; Halfond, William GJ",Detecting display energy hotspots in Android apps,"Software Testing, Verification and Reliability",journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
656,"Behrouz, Reyhaneh Jabbarvand; Sadeghi, Alireza; Garcia, Joshua; Malek, Sam; Ammann, Paul",Ecodroid: An approach for energy-based ranking of android apps,"Green and Sustainable Software (GREENS), 2015 IEEE/ACM 4th International Workshop on",conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
657,"Selakovic, Marija; Pradel, Michael",Performance issues and optimizations in javascript: an empirical study,Proceedings of the 38th International Conference on Software Engineering,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
658,"Ahmad, Raja Wasim; Gani, Abdullah; Hamid, Siti Hafizah Ab; Xia, Feng; Shiraz, Muhammad","A review on mobile application energy profiling: Taxonomy, state-of-the-art, and open research issues",Journal of Network and Computer Applications,journalArticle,2015,S,210,F,o,,,,,,,,,,,,,
659,"Moura, Irineu; Pinto, Gustavo; Ebert, Felipe; Castor, Fernando",Mining energy-aware commits,Proceedings of the 12th Working Conference on Mining Software Repositories,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
660,"Procaccianti, Giuseppe; Fernández, Héctor; Lago, Patricia",Empirical evaluation of two best practices for energy-efficient software development,Journal of Systems and Software,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
661,"Lima, Luís Gabriel; Soares-Neto, Francisco; Lieuthier, Paulo; Castor, Fernando; Melfe, Gilberto; Fernandes, João Paulo",Haskell in green land: Analyzing the energy behavior of a purely functional language,"Software Analysis, Evolution, and Reengineering (SANER), 2016 IEEE 23rd International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
662,"Jabbarvand, Reyhaneh; Sadeghi, Alireza; Bagheri, Hamid; Malek, Sam",Energy-aware test-suite minimization for android apps,Proceedings of the 25th International Symposium on Software Testing and Analysis,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
663,"Liu, Yepang; Xu, Chang; Cheung, Shing-Chi; Terragni, Valerio",Understanding and detecting wake lock misuses for android applications,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
664,"Aggarwal, Karan; Hindle, Abram; Stroulia, Eleni",GreenAdvisor: A tool for analyzing the impact of software evolution on energy consumption,2015 IEEE international conference on software maintenance and evolution (ICSME),conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
665,"Pereira, Rui; Couto, Marco; Saraiva, João; Cunha, Jácome; Fernandes, João Paulo",The influence of the Java collection framework on overall energy consumption,Proceedings of the 5th International Workshop on Green and Sustainable Software,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
666,"Linares-Vásquez, Mario",Supporting evolution and maintenance of Android apps,Companion Proceedings of the 36th International Conference on Software Engineering,conferencePaper,2014,S,210,F,o,,,,,,,,,,,,,
667,"Li, Ding; Halfond, William GJ",Optimizing energy of http requests in android applications,Proceedings of the 3rd International Workshop on Software Development Lifecycle for Mobile,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
668,"Martin, William; Sarro, Federica; Harman, Mark",Causal impact analysis applied to app releases in Google Play and Windows Phone Store,RN,journalArticle,2015,S,210,F,o,,,,,,,,,,,,,
669,"White, Martin; Linares-Vásquez, Mario; Johnson, Peter; Bernal-Cárdenas, Carlos; Poshyvanyk, Denys",Generating reproducible and replayable bug reports from android application crashes,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
670,"Li, Li; Bartel, Alexandre; Bissyandé, Tegawendé F; Klein, Jacques; Le Traon, Yves; Arzt, Steven; Rasthofer, Siegfried; Bodden, Eric; Octeau, Damien; McDaniel, Patrick",Iccta: Detecting inter-component privacy leaks in android apps,Proceedings of the 37th International Conference on Software Engineering-Volume 1,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
671,"Martin, William; Sarro, Federica; Jia, Yue; Zhang, Yuanyuan; Harman, Mark",A survey of app store analysis for software engineering,IEEE transactions on software engineering,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
672,"Li, Ding; Hao, Shuai; Gui, Jiaping; Halfond, William GJ",An empirical study of the energy consumption of android applications,"Software Maintenance and Evolution (ICSME), 2014 IEEE International Conference on",conferencePaper,2014,S,210,F,o,,,,,,,,,,,,,
673,"Bavota, Gabriele; Linares-Vasquez, Mario; Bernal-Cardenas, Carlos Eduardo; Di Penta, Massimiliano; Oliveto, Rocco; Poshyvanyk, Denys",The impact of api change-and fault-proneness on the user ratings of android apps,IEEE Transactions on Software Engineering,journalArticle,2015,S,210,F,o,,,,,,,,,,,,,
674,"Martin, William; Harman, Mark; Jia, Yue; Sarro, Federica; Zhang, Yuanyuan",The app sampling problem for app store mining,Proceedings of the 12th Working Conference on Mining Software Repositories,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
675,"Sahin, Cagri; Tornquist, Philip; Mckenna, Ryan; Pearson, Zachary; Clause, James",How does code obfuscation impact energy usage?,"Software Maintenance and Evolution (ICSME), 2014 IEEE International Conference on",conferencePaper,2014,S,210,F,o,,,,,,,,,,,,,
676,"Hasan, Samir; King, Zachary; Hafiz, Munawar; Sayagh, Mohammed; Adams, Bram; Hindle, Abram",Energy profiles of java collections classes,Proceedings of the 38th International Conference on Software Engineering,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
677,"Linares-Vásquez, Mario; Bavota, Gabriele; Cárdenas, Carlos Eduardo Bernal; Oliveto, Rocco; Di Penta, Massimiliano; Poshyvanyk, Denys",Optimizing energy consumption of GUIs in Android apps: a multi-objective approach,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
678,"Li, Ding; Lyu, Yingjun; Gui, Jiaping; Halfond, William GJ",Automated energy optimization of http requests for mobile applications,Proceedings of the 38th international conference on software engineering,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
679,"Derr, Erik",Understanding and assessing security on Android via static code analysis,,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
680,"Ahmadi, Nima; others",An Empirical Study of Android API Use in Google and Non-Google Applications,,thesis,2018,S,215,F,o,,,,,,,,,,,,,
681,"Khalid, Hammad",On The Link Between Mobile App Quality And User Reviews,,thesis,2014,S,215,F,o,,,,,,,,,,,,,
682,"Pandey, Mamta; Litoriya, Ratnesh; Pandey, Prateek",Impact of various critical factors on Mobile App development based on reviews: An Investigative Study,Technia,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
683,"Campos, Edmilson; Kulesza, Uirá; Coelho, Roberta; Bonifácio, Rodrigo; Mariano, Lucas",Unveiling the Architecture and Design of Android Applications,Proceedings of the 17th International Conference on Enterprise Information Systems-Volume 2,conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
684,"Salza, Pasquale; Palomba, Fabio; Di Nucci, Dario; D’Uva, Cosmo; De Lucia, Andrea; Ferrucci, Filomena",Do Developers Update Third-Party Libraries in Mobile Apps?,,journalArticle,2018,S,215,F,o,,,,,,,,,,,,,
685,"Holtzhauer, Andrew Steven",APPROVAL PAGE,,journalArticle,2014,S,215,F,o,,,,,,,,,,,,,
686,"Bernal-Cárdenas, Carlos Eduardo",Improving Android Applications Searching and Browsing by using Information Retrieval and Static Bytecode Analysis,,journalArticle,,S,215,F,o,,,,,,,,,,,,,
687,"Kuttal, Sandeep Kaur; Sarma, Anita; Rothermel, Gregg; Wang, Zhendong",What Happened to My Application? Helping End Users Comprehend Evolution through Variation Management,Information and Software Technology,journalArticle,2018,S,215,F,o,,,,,,,,,,,,,
688,"Pinardi, Nadia; Festa, Gaetano",Dottorato di ricerca in,,journalArticle,,S,215,F,o,,,,,,,,,,,,,
689,"Pandey, Mamta; Litoriya, Ratnesh; Pandey, Prateek",An ISM Approach for Modeling the Issues and Factors of Mobile App Development,International Journal of Software Engineering and Knowledge Engineering,journalArticle,2018,S,215,F,o,,,,,,,,,,,,,
690,"KOCHHAR, Pavneet Singh",Testing and debugging: A reality check,,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
691,"Martin, WJ",App Store Analysis for Software Engineering,,thesis,2017,S,215,F,o,,,,,,,,,,,,,
692,"Yu, Hong; Lian, Yahong; Yang, Shuotao; Tian, Linlin; Zhao, Xiaowei",Recommending Features of Mobile Applications for Developer,International Conference on Advanced Data Mining and Applications,conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
693,"CAMPOS, EDMILSON; KULESZA, UIRÁ; COELHO, ROBERTA",Um Estudo Exploratório da Arquitetura e Projeto de Aplicativos Android,,journalArticle,,S,215,F,o,,,,,,,,,,,,,
694,"Anestasia, Maya; Poeri, Pratya; Rahayu, Mira",Rancangan Perbaikan pada Proses Produksi Rubber Step Aspira Belakang Menggunakan 5-s System dengan Pendekatan Lean Manufacturing untuk Meminimasi Waste Motion (Studi Kasus: Divisi Industri Teknik Karet PT Agronesia),JRSI (Jurnal Rekayasa Sistem dan Industri),journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
695,"Pratami, Devi; Puspita, Ika Arum",Desain Model E-business Aplikasi Mobile (Studi Kasus: E-makanan Padat Pendamping Asi),JRSI (Jurnal Rekayasa Sistem dan Industri),journalArticle,2015,S,215,F,o,,,,,,,,,,,,,
696,"Hecht, Geoffrey",Détection et analyse de l’impact des défauts de code dans les applications mobiles,,thesis,2016,S,215,F,o,,,,,,,,,,,,,
697,"Pratami, Devi; Puspita, Ika Arum",Desain Model e-Business Aplikasi Mobile,,journalArticle,,S,215,F,o,,,,,,,,,,,,,
698,李亚林; 张洪群; 李山山,数据分配策略优化的全条带遥感影像流水线并行处理,计算机应用与软件,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
699,"Taba, Seyyed Ehsan Salamati; Keivanloo, Iman; Zou, Ying; Wang, Shaohua",An exploratory study on the usage of common interface elements in android applications,Journal of Systems and Software,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
700,"Marr, Stefan",Supporting Concurrency Abstractions in High-level Language Virtual Machines,,thesis,2013,S,215,F,o,,,,,,,,,,,,,
701,"Yang, Shuotao; Yu, Hong; Deng, Weiwei; Lai, Xiaochen",Mobile application recommendations based on Complex information,"International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
702,"Yun, JinHyo Joseph; Won, DongKyu; Park, KyungBae; Yang, JeongHo; Zhao, Xiaofei",Growth of a platform business model as an entrepreneurial ecosystem and its effects on regional development,European Planning Studies,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
703,"Finkelstein, Anthony; Harman, Mark; Jia, Yue; Martin, William; Sarro, Federica; Zhang, Yuanyuan","Investigating the relationship between price, rating, and popularity in the Blackberry World App Store",Information and Software Technology,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
704,"Li, Li",Boosting static security analysis of android apps through code instrumentation,,thesis,2016,S,215,F,o,,,,,,,,,,,,,
705,"Kessentini, Marouane; Ouni, Ali",Detecting Android smells using multi-objective genetic programming,Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
706,"He, Dongjie; Li, Lian; Wang, Lei; Zheng, Hengjie; Li, Guangwei; Xue, Jingling",Understanding and detecting evolution-induced compatibility issues in Android apps,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,conferencePaper,2018,S,215,F,o,,,,,,,,,,,,,
707,"Taibi, Fathi",On Measuring the Reusability Proneness of Mobile Applications,"International Journal of Computer, Control, Quantum and Information Engineering",journalArticle,2014,S,215,F,o,,,,,,,,,,,,,
708,"Orrú, Matteo; Porru, Simone; Tonelli, Roberto; Marchesi, Michele",A Preliminary Study on Mobile Apps Call Graphs through a Complex Network Approach,"Signal-Image Technology & Internet-Based Systems (SITIS), 2015 11th International Conference on",conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
709,"Chi, Zhihao Mike",LibDetector: Version Identification of Libraries in Android Applications,,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
710,"CHANDRA, B SARATH; SUDHAKAR, K",A Peer Reviewed International Journal,,journalArticle,,S,215,F,o,,,,,,,,,,,,,
711,"Shah, Zahidah Iskandar; Ibrahim, Rosziati",The Design of Android Metadata Based on Reverse Engineering Using UML,Proceedings of the First International Conference on Advanced Data and Information Engineering (DaEng-2013),conferencePaper,2014,S,215,F,o,,,,,,,,,,,,,
712,"Salamati Taba, Seyyed Ehsan",Empirical Studies on the Relation between User Interface Design and Perceived Quality of Android Applications,,thesis,2014,S,215,F,o,,,,,,,,,,,,,
713,"Roy, Chanchal K; Cordy, James R",Benchmarks for software clone detection: A ten-year retrospective,"2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",conferencePaper,2018,S,215,F,o,,,,,,,,,,,,,
714,"Habchi, Sarra; Hecht, Geoffrey; Rouvoy, Romain; Moha, Naouel",Code Smells in iOS Apps: How do they compare to Android?,"Mobile Software Engineering and Systems (MOBILESoft), 2017 IEEE/ACM 4th International Conference on",conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
715,"Almeida, Mario Manuel Sa Dias; others",Elastic phone: towards detecting and mitigating computation and energy inefficiencies in mobile apps,,journalArticle,2018,S,215,F,o,,,,,,,,,,,,,
716,"Yun, JinHyo Joseph; Cooke, Philip; Park, JiYoung",Evolution and variety in complex geographies and enterprise policies,,book,2017,S,215,F,o,,,,,,,,,,,,,
717,"Dixon, Jeff; Barkhordari, Raheleh; Sivanesan, Sinthu",Star Apps: App originality and interdependence as predictors of app success,,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
718,"Chandrashekar, Sushruth",Android Application for School of Art and Design,,thesis,2014,S,215,F,o,,,,,,,,,,,,,
719,"Linares-Vásquez, Mario; Holtzhauer, Andrew; Poshyvanyk, Denys",On automatically detecting similar android apps,"Program Comprehension (ICPC), 2016 IEEE 24th International Conference on",conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
720,"Coelho, Roberta; Almeida, Lucas; Gousios, Georgios; van Deursen, Arie",Unveiling exception handling bug hazards in Android based on GitHub and Google code issues,"Mining Software Repositories (MSR), 2015 IEEE/ACM 12th Working Conference on",conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
721,"Abdalkareem, Rabe; Shihab, Emad; Rilling, Juergen",On code reuse from stackoverflow: An exploratory study on android apps,Information and Software Technology,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
722,"Derr, Erik; Bugiel, Sven; Fahl, Sascha; Acar, Yasemin; Backes, Michael",Keep me updated: An empirical study of third-party library updatability on Android,Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
723,"Schwittek, Widura; Eicker, Stefan",A study on third party component reuse in Java enterprise open source software,Proceedings of the 16th International ACM Sigsoft symposium on Component-based software engineering,conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
724,"Ali, Mohamed; Mesbah, Ali",Mining and characterizing hybrid apps,Proceedings of the International Workshop on App Market Analytics,conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
725,"Jha, Ajay Kumar; Lee, Sunghee; Lee, Woo Jin",Developer mistakes in writing Android manifests: An empirical study of configuration errors,"Mining Software Repositories (MSR), 2017 IEEE/ACM 14th International Conference on",conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
726,"Cai, Haipeng; Ryder, Barbara G",Understanding Android application programming and security: A dynamic study,"Software Maintenance and Evolution (ICSME), 2017 IEEE International Conference on",conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
727,"Li, Li; Li, Daoyuan; Bissyandé, Tegawendé F; Klein, Jacques; Traon, Yves Le; Lo, David; Cavallaro, Lorenzo",Understanding Android app piggybacking,Proceedings of the 39th International Conference on Software Engineering Companion,conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
728,"Guerrouj, Latifa; Baysal, Olga",Investigating the android apps' success: An empirical study,"Program Comprehension (ICPC), 2016 IEEE 24th International Conference on",conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
729,"Coelho, Roberta; Almeida, Lucas; Gousios, Georgios; Van Deursen, Arie; Treude, Christoph",Exception handling bug hazards in Android,Empirical Software Engineering,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
730,"Syer, Mark",Empirical studies of mobile apps and their dependence on mobile platforms,,thesis,2013,S,215,F,o,,,,,,,,,,,,,
731,"Minelli, Roberto",Software analytics for mobile applications,,book,2012,S,215,F,o,,,,,,,,,,,,,
732,"Li, Li; Bissyandé, Tegawendé F; Klein, Jacques",Simidroid: Identifying and explaining similarities in android apps,"Trustcom/BigDataSE/ICESS, 2017 IEEE",conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
733,"Ali, Mohamed; Joorabchi, Mona Erfani; Mesbah, Ali","Same app, different app stores: A comparative study",Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
734,"Hassan, Safwat; Shang, Weiyi; Hassan, Ahmed E",An empirical study of emergency updates for top android mobile apps,Empirical Software Engineering,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
735,"Escobar-Avila, Javier; Linares-Vásquez, Mario; Haiduc, Sonia",Unsupervised software categorization using bytecode,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
736,"Cai, Haipeng; Ryder, Barbara",Understanding application behaviours for android security: A systematic characterization,Computer Science Technical Reports,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
737,"Hecht, Geoffrey",An approach to detect Android antipatterns,Proceedings of the 37th International Conference on Software Engineering-Volume 2,conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
738,"Dürschmid, Tobias; Trapp, Matthias; Döllner, Jürgen",Towards architectural styles for Android app software product lines,Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,conferencePaper,2017,S,215,F,o,,,,,,,,,,,,,
739,"Linares-Vásquez, Mario; Bavota, Gabriele; Di Penta, Massimiliano; Oliveto, Rocco; Poshyvanyk, Denys",How do api changes trigger stack overflow discussions? a study on the android sdk,proceedings of the 22nd International Conference on Program Comprehension,conferencePaper,2014,S,215,F,o,,,,,,,,,,,,,
740,"Martin, William; Harman, Mark; Jia, Yue; Sarro, Federica; Zhang, Yuanyuan",The app sampling problem for app store mining,Proceedings of the 12th Working Conference on Mining Software Repositories,conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
741,"Rosen, Christoffer; Shihab, Emad",What are mobile developers asking about? a large scale study using stack overflow,Empirical Software Engineering,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
742,"Kochhar, Pavneet Singh; Thung, Ferdian; Nagappan, Nachiappan; Zimmermann, Thomas; Lo, David",Understanding the test automation culture of app developers,,journalArticle,2015,S,215,F,o,,,,,,,,,,,,,
743,"Syer, Mark D; Nagappan, Meiyappan; Hassan, Ahmed E; Adams, Bram",Revisiting prior empirical findings for mobile apps: An empirical case study on the 15 most popular open-source Android apps,Proceedings of the 2013 Conference of the Center for Advanced Studies on Collaborative Research,conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
744,"Linares-Vásquez, Mario; Holtzhauer, Andrew; Bernal-Cárdenas, Carlos; Poshyvanyk, Denys",Revisiting android reuse studies in the context of code obfuscation and library usages,Proceedings of the 11th Working Conference on Mining Software Repositories,conferencePaper,2014,S,215,F,o,,,,,,,,,,,,,
745,"Nagappan, Meiyappan; Shihab, Emad",Future Trends in Software Engineering Research for Mobile Apps.,FOSE@ SANER,conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
746,"McIlroy, Stuart; Ali, Nasir; Hassan, Ahmed E",Fresh apps: an empirical study of frequently-updated mobile apps in the Google play store,Empirical Software Engineering,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
747,"Li, Li; Bissyandé, Tegawendé F; Papadakis, Mike; Rasthofer, Siegfried; Bartel, Alexandre; Octeau, Damien; Klein, Jacques; Traon, Le",Static analysis of android apps: A systematic literature review,Information and Software Technology,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
748,"Li, Li; Bissyandé, Tegawendé F; Klein, Jacques; Le Traon, Yves",An investigation into the use of common libraries in android apps,"Software Analysis, Evolution, and Reengineering (SANER), 2016 IEEE 23rd International Conference on",conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
749,"Finkelstein, Anthony; Harman, Mark; Jia, Yue; Martin, William; Sarro, Federica; Zhang, Yuanyuan","App store analysis: Mining app stores for relationships between customer, business and technical characteristics",RN,journalArticle,2014,S,215,F,o,,,,,,,,,,,,,
750,"Guerrouj, Latifa; Azad, Shams; Rigby, Peter C",The influence of app churn on app success and stackoverflow discussions,"Software Analysis, Evolution and Reengineering (SANER), 2015 IEEE 22nd International Conference on",conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
751,"Syer, Mark D; Nagappan, Meiyappan; Adams, Bram; Hassan, Ahmed E",Studying the relationship between source code quality and mobile platform dependence,Software Quality Journal,journalArticle,2015,S,215,F,o,,,,,,,,,,,,,
752,"Hecht, Geoffrey; Benomar, Omar; Rouvoy, Romain; Moha, Naouel; Duchien, Laurence",Tracking the software quality of android applications along their evolution (t),"Automated Software Engineering (ASE), 2015 30th IEEE/ACM International Conference on",conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
753,"Hecht, Geoffrey; Rouvoy, Romain; Moha, Naouel; Duchien, Laurence",Detecting antipatterns in android apps,Proceedings of the Second ACM International Conference on Mobile Software Engineering and Systems,conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
754,"Hecht, Geoffrey; Moha, Naouel; Rouvoy, Romain",An empirical study of the performance impacts of android code smells,Proceedings of the International Conference on Mobile Software Engineering and Systems,conferencePaper,2016,S,215,F,o,,,,,,,,,,,,,
755,"Minelli, Roberto; Lanza, Michele",SAMOA–A Visual Software Analytics Platform for Mobile Applications,"Software Maintenance (ICSM), 2013 29th IEEE International Conference on",conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
756,"Linares-Vásquez, Mario",Supporting evolution and maintenance of Android apps,Companion Proceedings of the 36th International Conference on Software Engineering,conferencePaper,2014,S,215,F,o,,,,,,,,,,,,,
757,"Khalid, Hammad; Nagappan, Meiyappan; Hassan, Ahmed E",Examining the relationship between FindBugs warnings and app ratings,IEEE Software,journalArticle,2016,S,215,F,o,,,,,,,,,,,,,
